Reporting Entity,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Scope 1 t CO2 e,Scope 2 t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes,2014
ENERGY DEVELOPMENTS LIMITED,Broome LNG Power Station,F,WA,485698,134916,82255,0.0,82255,0.61,Off,Off-grid,Gas/Diesel,,2014
ENERGY DEVELOPMENTS LIMITED,Browns Plains LFG Power Station,F,QLD,40383,11218,712,4.0,716,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Century Power Station,FA,QLD,4393,1220,848,0.0,848,0.69,On,Mt Isa,Diesel,,2014
ENERGY DEVELOPMENTS LIMITED,Clayton LFG Power Station,F,VIC,290315,80643,4503,321.0,4824,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Coober Pedy Remote Power Station,F,SA,42860,11906,8348,0.0,8348,0.7,Off,Off-grid,Diesel,,2014
ENERGY DEVELOPMENTS LIMITED,Cue Remote Power Station,F,WA,6804,1890,1363,0.0,1363,0.72,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Derby LNG Power Station,F,WA,128739,35761,18528,0.0,18528,0.52,Off,Off-grid,Gas/Diesel,,2014
ENERGY DEVELOPMENTS LIMITED,Djarandjin Remote Power Station,F,WA,5837,1621,1157,0.0,1157,0.71,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Eastern Creek LFG Power Station,F,NSW,58449,16236,931,3.0,934,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,EDL LFG (VIC),FA,VIC,28317,7866,502,7.0,509,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Fitzroy Crossing LNG Power Station,F,WA,52066,14463,7074,0.0,7074,0.49,Off,Off-grid,Gas/Diesel,,2014
ENERGY DEVELOPMENTS LIMITED,Gascoyne Junction Remote Power Station,F,WA,2847,791,603,0.0,603,0.76,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,German Creek CMM Power Station,F,QLD,1101467,305963,166630,0.0,166630,0.54,On,NEM,Waste Coal Mine Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Glennies Creek Power Station,F,NSW,326588,90719,53189,5.0,53194,0.59,On,NEM,Waste Coal Mine Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Halls Creek LNG Power Station,F,WA,41237,11455,6357,0.0,6357,0.55,Off,Off-grid,Gas/Diesel,,2014
ENERGY DEVELOPMENTS LIMITED,Highbury and Tea Tree Gully Power Stations,FA,SA,12141,3373,220,42.0,262,0.07,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Jacks Gully LFG Power Station,F,NSW,56366,15657,991,1.0,992,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Karumba Power Station,F,QLD,51753,14376,9935,8.0,9943,0.69,Off,Off-grid,Diesel,,2014
ENERGY DEVELOPMENTS LIMITED,Laverton Remote Power Station,F,WA,13825,3840,2685,0.0,2685,0.7,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Leonora Remote Power Station,F,WA,32000,8889,6446,0.0,6446,0.73,Off,Off-grid,Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Looma Power Station,FA,WA,9329,2591,2076,0.0,2076,0.8,Off,Off-grid,Gas/Diesel,,2014
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 1 LFG Power Station,F,NSW,81911,22753,1447,3.0,1450,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 2 LFG Power Station,F,NSW,363270,100908,6422,3.0,6425,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,McArthur River Power Station,F,NT,1028823,285784,132182,0.0,132182,0.46,Off,Off-grid,Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Meekatharra Remote Power Station,F,WA,23382,6495,4675,0.0,4675,0.72,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Menzies Remote Power Station,F,WA,2620,728,560,0.0,560,0.77,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Moranbah North CMM Power Station,F,QLD,1581863,439406,238554,0.0,238554,0.54,On,NEM,Waste Coal Mine Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Mt Magnet Remote Power Station,F,WA,12419,3450,2514,0.0,2514,0.73,Off,Off-grid,Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,ACT,79427,22063,1398,1.0,1399,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Oaky Creek Power Station,F,QLD,481153,133654,77508,23.0,77531,0.58,On,NEM,Coal Seam Methane,,2014
ENERGY DEVELOPMENTS LIMITED,Pedler Creek LFG Power Station,F,SA,68940,19150,1210,2.0,1212,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Pine Creek A Power Station,F,NT,651894,181082,90532,0.0,90532,0.5,On,DKIS,Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Roghan Road LFG Power Station,FA,QLD,4877,1355,83,44.0,127,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Sandstone Remote Power Station,F,WA,1831,509,406,0.0,406,0.8,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Springvale LFG Power Station,F,VIC,60010,16669,1066,13.0,1079,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Tahmoor Power Station,F,NSW,167241,46456,29870,10.0,29880,0.64,On,NEM,Waste Coal Mine Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Teralba Power Station,F,NSW,41260,11461,7316,32.0,7348,0.64,On,NEM,Coal Seam Methane,,2014
ENERGY DEVELOPMENTS LIMITED,Tower CSM Power Station,F,NSW,727327,202035,145425,9.0,145434,0.72,On,NEM,Coal Seam Methane,,2014
ENERGY DEVELOPMENTS LIMITED,Warmun Remote Power Station,F,WA,9744,2707,1967,0.0,1967,0.73,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,West Belconnen LFG Power Station,F,ACT,11163,3101,201,8.0,209,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Wiluna Remote Power Station,F,WA,8252,2292,1657,0.0,1657,0.72,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Wingfield 1 LFG Power Station,F,SA,57947,16096,1019,1.0,1020,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Wingfield 2 LFG Power Station,F,SA,59665,16574,1049,1.0,1050,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Yalgoo Remote Power Station,F,WA,2895,804,616,0.0,616,0.77,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Corporate Total,C,,9195095,2554193,1256809,1457.0,1258266,,,,,,2014
ENERGY WORLD CORPORATION LTD,Brewer Power Station,F,NT,169861,47184,30511,14.0,30525,0.65,Off,Off-grid,Gas,,2014
ENERGY WORLD CORPORATION LTD,Corporate Total,C,,169861,47184,30511,14.0,30525,,,,,,2014
