Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment,_query,latitude,longitude,geocode_status,formatted_address
SRPXVC81,BPW Transpec Pty Ltd - Solar W SGU - VIC,VIC,0.4489,3026,Solar,13/11/2024,Unsuspended,0,,"BPW Transpec Pty Ltd - Solar W SGU - VIC, VIC, 3026, Australia",-37.83120419999999,144.8086939,OK,"1 Cherry Ln, Laverton North VIC 3026, Australia"
SRPXVC33,Minter Magic Iraak - Solar w SGU - VIC,VIC,0.1998,3494,Solar,12/11/2024,Unsuspended,0,,"Minter Magic Iraak - Solar w SGU - VIC, VIC, 3494, Australia",-34.4119394,142.3077203,OK,"45 Hards Ln, Iraak VIC 3494, Australia"
SRPVSAQ6,REDARC Electronics Solar w SGU- SA,SA,0.4293,5160,Solar,8/11/2024,Unsuspended,0,,"REDARC Electronics Solar w SGU- SA, SA, 5160, Australia",-35.1030585,138.508345,OK,"23 Brodie Rd, Lonsdale SA 5160, Australia"
SRPXNSU7,Woolworths CFC Auburn - Solar - NSW,NSW,1.5001,2144,Solar,7/11/2024,Unsuspended,0,,"Woolworths CFC Auburn - Solar - NSW, NSW, 2144, Australia",-33.8499992,151.0406417,OK,"11-13 Percy St, Auburn NSW 2144, Australia"
SRPXNSQ6,Woolworths Yass 1325 - Solar - NSW,NSW,0.2098,2582,Solar,6/11/2024,Unsuspended,0,,"Woolworths Yass 1325 - Solar - NSW, NSW, 2582, Australia",-34.8277755,148.9083038,OK,"Yass NSW 2582, Australia"
SRPXNSE1,HNELHD Armidale - Solar - NSW,NSW,0.4191,2350,Solar,6/11/2024,Unsuspended,0,,"HNELHD Armidale - Solar - NSW, NSW, 2350, Australia",-30.5477245,151.6739926,OK,"347 Dangarsleigh Rd, Armidale NSW 2350, Australia"
SRPXNSO3,PPC Moulding Services - Solar - NSW,NSW,0.8867,2163,Solar,6/11/2024,Unsuspended,0,,"PPC Moulding Services - Solar - NSW, NSW, 2163, Australia",-33.8751345,150.9842211,OK,"25 Miowera Rd, Villawood NSW 2163, Australia"
SRPVQLO4,Toyota Mackay - Solar - QLD,QLD,0.2,4740,Solar,6/11/2024,Unsuspended,0,,"Toyota Mackay - Solar - QLD, QLD, 4740, Australia",-21.146848,149.1742077,OK,"3 Hyne St, Mackay QLD 4740, Australia"
SRPXNSE0,AU875 Moorebank 5 Secombe Pl - Solar w SGU - NSW,NSW,0.2255,2170,Solar,6/11/2024,Unsuspended,0,,"AU875 Moorebank 5 Secombe Pl - Solar w SGU - NSW, NSW, 2170, Australia",-33.9432773,150.9282064,OK,"5 Secombe Pl, Moorebank NSW 2170, Australia"
SRPXNS60,HNELHD Belmont - Solar - NSW,NSW,0.3758,2280,Solar,5/11/2024,Unsuspended,0,,"HNELHD Belmont - Solar - NSW, NSW, 2280, Australia",-32.9212772,151.6913022,OK,"Lookout Rd, New Lambton NSW 2305, Australia"
SRPXNS59,Wynstan - Solar w SGU - NSW,NSW,0.5,2161,Solar,5/11/2024,Unsuspended,0,,"Wynstan - Solar w SGU - NSW, NSW, 2161, Australia",-33.8570185,150.9831038,OK,"Old Guildford NSW 2161, Australia"
SRPXQLE6,SEALY OF AUSTRALIA (BRIS) - SOLAR W SGU -QLD,QLD,0.1997,4076,Solar,1/11/2024,Unsuspended,0,,"SEALY OF AUSTRALIA (BRIS) - SOLAR W SGU -QLD, QLD, 4076, Australia",-27.6001127,152.9320965,OK,"1299 Boundary Rd, Wacol QLD 4076, Australia"
SRPYNS26,AU870 Interchange Pk 27 Interchange - Solar - NSW,NSW,0.572,2766,Solar,31/10/2024,Unsuspended,0,,"AU870 Interchange Pk 27 Interchange - Solar - NSW, NSW, 2766, Australia",-33.8017052,150.8479748,OK,"27 Interchange Dr, Eastern Creek NSW 2766, Australia"
SRPVSAX7,Big W Renmark 564 - Solar - SA,SA,0.1858,5341,Solar,31/10/2024,Unsuspended,0,,"Big W Renmark 564 - Solar - SA, SA, 5341, Australia",-34.178215,140.7444305,OK,"Corner Of Nineteenth and, Twentieth St, Renmark South SA 5341, Australia"
SRPYNS25,Woolworths Kiama 1163 - Solar - NSW,NSW,0.2429,2533,Solar,31/10/2024,Unsuspended,0,,"Woolworths Kiama 1163 - Solar - NSW, NSW, 2533, Australia",-34.6675102,150.8509507,OK,"143 Terralong St, Kiama NSW 2533, Australia"
SRPVSAY4,Lineage Edinburgh Park - Solar - SA,SA,0.864,5111,Solar,31/10/2024,Unsuspended,0,,"Lineage Edinburgh Park - Solar - SA, SA, 5111, Australia",-34.7347471,138.6377006,OK,"134-138 & 140/144 Purling Ave, Edinburgh SA 5111, Australia"
SRPYNS24,Scalabrini Allambie Height - Solar w SGU - NSW,NSW,0.16,2100,Solar,30/10/2024,Unsuspended,0,,"Scalabrini Allambie Height - Solar w SGU - NSW, NSW, 2100, Australia",-33.764899,151.247455,OK,"167 Allambie Rd, Allambie Heights NSW 2100, Australia"
SRPVSAX5,MF Grand Jct Rd - Solar - SA,SA,0.2,5010,Solar,30/10/2024,Unsuspended,0,,"MF Grand Jct Rd - Solar - SA, SA, 5010, Australia",-34.8497227,138.5677811,OK,"Grand Jct Rd, Ferryden Park SA 5010, Australia"
SRPVSAX6,Big W Gawler 558 - Solar - SA,SA,0.1996,5118,Solar,29/10/2024,Unsuspended,0,,"Big W Gawler 558 - Solar - SA, SA, 5118, Australia",-34.5977654,138.7476512,OK,"2 Commercial Ln, Gawler SA 5118, Australia"
SRPXQLF7,Rheinmetall Defence Australia - Solar - QLD,QLD,1.2001,4301,Solar,29/10/2024,Unsuspended,0,,"Rheinmetall Defence Australia - Solar - QLD, QLD, 4301, Australia",-27.5836468,152.8759288,OK,"Gate 4/111 Robert Smith St, Redbank QLD 4301, Australia"
SRPXQLF8,Retail First Fairfield-Solar-QLD,QLD,0.4002,4103,Solar,29/10/2024,Unsuspended,0,,"Retail First Fairfield-Solar-QLD, QLD, 4103, Australia",-27.5090543,153.0260317,OK,"Shop 33/180 Fairfield Rd, Fairfield QLD 4103, Australia"
SRPXQLG0,Woolworths Eli Waters 2725 - Solar - QLD,QLD,0.2093,4655,Solar,29/10/2024,Unsuspended,0,,"Woolworths Eli Waters 2725 - Solar - QLD, QLD, 4655, Australia",-25.2865872,152.8156249,OK,"2 Ibis Blvd, Eli Waters QLD 4655, Australia"
SRPXVCP1,Coles Ocado - Solar - VIC,VIC,2.0007,3029,Solar,28/10/2024,Unsuspended,0,,"Coles Ocado - Solar - VIC, VIC, 3029, Australia",-37.8238752,144.7530048,OK,"442-540 Dohertys Rd, Truganina VIC 3029, Australia"
SRPXQLF5,HomeCo Jindalee - Solar - QLD,QLD,0.186,4074,Solar,28/10/2024,Unsuspended,0,,"HomeCo Jindalee - Solar - QLD, QLD, 4074, Australia",-27.533493,152.948267,OK,"34 Goggs Road &, 168 Sinnamon Rd, Jindalee QLD 4074, Australia"
SRPVWAM7,APA Port Hedland Power Station - Solar Farm - WA,WA,65.5707,6722,Solar,24/10/2024,Unsuspended,0,,"APA Port Hedland Power Station - Solar Farm - WA, WA, 6722, Australia",-20.4280016,118.5502998,OK,"LOT 255 Boodarie Station Access Rd, Boodarie WA 6722, Australia"
SRPXQLF4,HomeCo Marsden Park QLD - Solar - QLD,QLD,0.3984,4132,Solar,23/10/2024,Unsuspended,0,,"HomeCo Marsden Park QLD - Solar - QLD, QLD, 4132, Australia",-27.6790962,153.1162247,OK,"Shop 31/77 Chambers Flat Rd, Marsden QLD 4132, Australia"
SRPXQLF3,Woolworths Burpengary 2655 - Solar - QLD,QLD,0.1858,4505,Solar,23/10/2024,Unsuspended,0,,"Woolworths Burpengary 2655 - Solar - QLD, QLD, 4505, Australia",-27.1615373,152.958072,OK,"Burpengary QLD 4505, Australia"
SRPXQLF2,Woolworths Fernvale 2715 - Solar - QLD,QLD,0.2746,4306,Solar,23/10/2024,Unsuspended,0,,"Woolworths Fernvale 2715 - Solar - QLD, QLD, 4306, Australia",-27.4559347,152.6533617,OK,"Fernvale QLD 4306, Australia"
SRPVSAX4,The Bluff - Solar - SA,SA,0.199,5523,Solar,23/10/2024,Unsuspended,0,,"The Bluff - Solar - SA, SA, 5523, Australia",-35.5915099,138.60386,OK,"Rosetta Head, Encounter Bay SA 5211, Australia"
SRPYNS23,Newton Rd - Solar - NSW,NSW,0.1337,2164,Solar,22/10/2024,Unsuspended,0,,"Newton Rd - Solar - NSW, NSW, 2164, Australia",-33.8383332,150.8869115,OK,"Newton Rd, Wetherill Park NSW 2164, Australia"
SRPYNS22,Goodman DHL Matraville - Solar - NSW,NSW,0.33,2036,Solar,21/10/2024,Unsuspended,0,,"Goodman DHL Matraville - Solar - NSW, NSW, 2036, Australia",-33.9721637,151.232932,OK,"1-3 Millennium Court, Industrial Estate, 33-44 Military Rd, Matraville NSW 2036, Australia"
SRPXNS61,Walla Walla Solar Farm 1 and 2 - Solar - NSW,NSW,353.0186,2659,Solar,21/10/2024,Unsuspended,0,,"Walla Walla Solar Farm 1 and 2 - Solar - NSW, NSW, 2659, Australia",-35.7653718,146.9010824,OK,"Walla Walla NSW 2659, Australia"
SRPYNS21,Bunnings Glendale - Solar - NSW,NSW,0.15,2284,Solar,18/10/2024,Unsuspended,0,,"Bunnings Glendale - Solar - NSW, NSW, 2284, Australia",-32.9438751,151.6252112,OK,"T C Frith Ave, Glendale NSW 2285, Australia"
SRPXVCO9,Bunnings Thomastown - Solar - VIC,VIC,0.17,3074,Solar,18/10/2024,Unsuspended,0,,"Bunnings Thomastown - Solar - VIC, VIC, 3074, Australia",-37.6931834,145.0228046,OK,"11 Dalton Rd, Thomastown VIC 3074, Australia"
SRPXQLF0,AESSEAL 54 Nashos Place 50kW - Solar w SGU - QLD,QLD,0.1496,4076,Solar,17/10/2024,Unsuspended,0,,"AESSEAL 54 Nashos Place 50kW - Solar w SGU - QLD, QLD, 4076, Australia",-27.5820115,152.9419498,OK,"54 Nashos Pl, Wacol QLD 4076, Australia"
SRPXVCO8,Bunnings Craigieburn - Solar - VIC,VIC,0.1965,3064,Solar,16/10/2024,Unsuspended,0,,"Bunnings Craigieburn - Solar - VIC, VIC, 3064, Australia",-37.5821794,144.9419149,OK,"700 Hume Hwy, Craigieburn VIC 3064, Australia"
SRPYNS18,Bunnings Villawood - Solar - NSW,NSW,0.245,2163,Solar,16/10/2024,Unsuspended,0,,"Bunnings Villawood - Solar - NSW, NSW, 2163, Australia",-33.8780852,150.9788106,OK,"Cnr Woodville Rd &, Tangerine St, Villawood NSW 2163, Australia"
SRPVSAX3,Collins Transport Penfield Gardens - Solar w SGU - SA,SA,0.2454,5121,Solar,16/10/2024,Unsuspended,0,,"Collins Transport Penfield Gardens - Solar w SGU - SA, SA, 5121, Australia",-34.6453323,138.6169192,OK,"Penfield Gardens SA 5121, Australia"
SRPYNS19,HomeCo Penrith - Solar - NSW,NSW,0.2604,2750,Solar,16/10/2024,Unsuspended,0,,"HomeCo Penrith - Solar - NSW, NSW, 2750, Australia",-33.765022,150.6815422,OK,"72/82 Mulgoa Rd, Penrith NSW 2750, Australia"
SRPXVCO7,Woolworths Kalkallo 3376 - Solar - VIC,VIC,0.2755,3064,Solar,16/10/2024,Unsuspended,0,,"Woolworths Kalkallo 3376 - Solar - VIC, VIC, 3064, Australia",-37.5294394,144.9595481,OK,"Kalkallo VIC 3064, Australia"
SRPYNS20,Woolworths Kellyville Grove 1659 - Solar - NSW,NSW,0.2116,2155,Solar,16/10/2024,Unsuspended,0,,"Woolworths Kellyville Grove 1659 - Solar - NSW, NSW, 2155, Australia",-33.7189353,150.9538415,OK,"2B Hector Ct, Kellyville NSW 2155, Australia"
SRPXQLE9,Emergent Cold Bidco - Solar - QLD,QLD,2.0534,4170,Solar,16/10/2024,Unsuspended,0,,"Emergent Cold Bidco - Solar - QLD, QLD, 4170, Australia",-27.4620175,153.0750052,OK,"Morningside QLD 4170, Australia"
SRPXVCO6,Origin PPA 88 Sydney Rd Benalla - Solar - VIC,VIC,0.4202,3672,Solar,16/10/2024,Unsuspended,0,,"Origin PPA 88 Sydney Rd Benalla - Solar - VIC, VIC, 3672, Australia",-36.5460061,146.0079295,OK,"88 Sydney Rd, Benalla VIC 3672, Australia"
SRPYNS17,Gate Gourmet - Solar w SGU - NSW,NSW,0.4352,2020,Solar,14/10/2024,Unsuspended,0,,"Gate Gourmet - Solar w SGU - NSW, NSW, 2020, Australia",-31.2532183,146.921099,OK,"New South Wales, Australia"
SRPYNS15,The George Hospital - Solar - NSW,NSW,0.1214,2557,Solar,10/10/2024,Unsuspended,0,,"The George Hospital - Solar - NSW, NSW, 2557, Australia",-34.02365220000001,150.770698,OK,"1A The Hermitage Way, Gregory Hills Dr, Gledswood Hills NSW 2557, Australia"
SRPYNS16,Coles Eastern Creek CDC - Solar - NSW,NSW,3.4495,2766,Solar,10/10/2024,Unsuspended,0,,"Coles Eastern Creek CDC - Solar - NSW, NSW, 2766, Australia",-33.8167419,150.8353271,OK,"10, Roberts Rd, Eastern Creek NSW 2766, Australia"
SRPXQLE3,YOUI - Solar w SGU- QLD,QLD,0.6187,4556,Solar,10/10/2024,Unsuspended,0,,"YOUI - Solar w SGU- QLD, QLD, 4556, Australia",-26.6971583,153.0500809,OK,"Tanawha QLD 4556, Australia"
SRPXQLE7,Mainstream Martyville - Solar - QLD,QLD,0.399,4858,Solar,3/10/2024,Unsuspended,0,,"Mainstream Martyville - Solar - QLD, QLD, 4858, Australia",-17.6208562,146.0368618,OK,"Martyville QLD 4858, Australia"
SRPYNS14,Woolworths Fairy Meadow 1293 - Solar w SGU - NSW,NSW,0.2656,2519,Solar,2/10/2024,Unsuspended,0,,"Woolworths Fairy Meadow 1293 - Solar w SGU - NSW, NSW, 2519, Australia",-34.39403120000001,150.8929307,OK,"Fairy Meadow NSW 2519, Australia"
SRPXQLE2,Albany Creek Shopping Centre - Solar w SGU - QLD,QLD,0.3534,4035,Solar,2/10/2024,Unsuspended,0,,"Albany Creek Shopping Centre - Solar w SGU - QLD, QLD, 4035, Australia",-27.3455088,152.9684103,OK,"Albany Creek QLD 4035, Australia"
WD00QL08,MacIntyre Wind Farm - Wind - QLD,QLD,923.4,4352,Wind,1/10/2024,Unsuspended,0,,"MacIntyre Wind Farm - Wind - QLD, QLD, 4352, Australia",-28.317164,151.537746,OK,"MGMQ+43, Cement Mills QLD 4352, Australia"
SRPXQLD5,IONA-SOLAR w SGU-QLD,QLD,0.5201,4178,Solar,1/10/2024,Unsuspended,0,,"IONA-SOLAR w SGU-QLD, QLD, 4178, Australia",-27.4541841,153.1648091,OK,"W, 232 Preston Rd, Wynnum QLD 4178, Australia"
SRPYNS09,Spring Farm MRF - Solar - NSW,NSW,0.1188,2570,Solar,1/10/2024,Unsuspended,0,,"Spring Farm MRF - Solar - NSW, NSW, 2570, Australia",-34.0703836,150.729412,OK,"Spring Farm NSW 2570, Australia"
SRPYNS12,CHARTER HALL-PC2004-MINTO-SOLAR-W SGU-NSW,NSW,0.2304,2566,Solar,30/09/2024,Unsuspended,0,,"CHARTER HALL-PC2004-MINTO-SOLAR-W SGU-NSW, NSW, 2566, Australia",-34.031726,150.8474521,OK,"Minto NSW 2566, Australia"
SRPYNS11,Singleton Diggers Club - Solar w SGU - NSW,NSW,0.1867,2330,Solar,30/09/2024,Unsuspended,0,,"Singleton Diggers Club - Solar w SGU - NSW, NSW, 2330, Australia",-32.5668175,151.172686,OK,"49 Castlereagh St, Singleton NSW 2330, Australia"
SRPVWAM5,Bunnings Baldivis - Solar -WA,WA,0.4125,6171,Solar,24/09/2024,Unsuspended,0,,"Bunnings Baldivis - Solar -WA, WA, 6171, Australia",-32.3310919,115.8191395,OK,"Corner Baldivis Rd &, Safety Bay Rd, Baldivis WA 6171, Australia"
SRPXVCO4,Mondelez Truganina DC - Solar - VIC,VIC,1.0,3029,Solar,24/09/2024,Unsuspended,0,,"Mondelez Truganina DC - Solar - VIC, VIC, 3029, Australia",-37.8470042,144.7508376,OK,"83 Amherst Dr, Truganina VIC 3029, Australia"
SRPXVCO3,Apex Electricity 2 SCHOLAR DRIVE - Solar w SGU - VIC,VIC,0.406,3083,Solar,23/09/2024,Unsuspended,0,,"Apex Electricity 2 SCHOLAR DRIVE - Solar w SGU - VIC, VIC, 3083, Australia",-37.6853989,145.0729559,OK,"2 Scholar Dr, Bundoora VIC 3083, Australia"
SRPVSAW9,Nicol Carrots Penfield - Solar - SA,SA,0.501,5121,Solar,23/09/2024,Unsuspended,0,,"Nicol Carrots Penfield - Solar - SA, SA, 5121, Australia",-34.6580088,138.6091355,OK,"Taylors Rd, Penfield Gardens SA 5121, Australia"
SRPYNS10,Mandole Orchard - Solar - NSW,NSW,0.1955,2680,Solar,20/09/2024,Unsuspended,0,,"Mandole Orchard - Solar - NSW, NSW, 2680, Australia",-34.394413,145.9358581,OK,"Griffith East NSW 2680, Australia"
SRPXVCO2,CHARTER HALL-MIDWEST 6 FOUNDERS -SOLAR-VIC,VIC,0.3753,3029,Solar,19/09/2024,Unsuspended,0,,"CHARTER HALL-MIDWEST 6 FOUNDERS -SOLAR-VIC, VIC, 3029, Australia",-37.8227348,144.75865,OK,"Truganina VIC 3029, Australia"
WD00VC51,Golden Plains Wind Farm East - Wind - VIC,VIC,756.4,3330,Wind,18/09/2024,Unsuspended,0,,"Golden Plains Wind Farm East - Wind - VIC, VIC, 3330, Australia",-37.9472059,143.7506694,OK,"3Q32+WP, Rokewood VIC 3330, Australia"
SRPXVCF8,Redmud Green Energy 184 Pty Ltd - Solar - VIC,VIC,6.6953,3688,Solar,18/09/2024,Unsuspended,0,,"Redmud Green Energy 184 Pty Ltd - Solar - VIC, VIC, 3688, Australia",-36.9847807,143.3906074,OK,"Victoria, Australia"
SRPYNS07,Overall Forge - Solar -NSW,NSW,0.471,2640,Solar,17/09/2024,Unsuspended,0,,"Overall Forge - Solar -NSW, NSW, 2640, Australia",-36.002135,146.985915,OK,"70 RW Henry Dr, Ettamogah NSW 2640, Australia"
SRPVWAM2,Tropicana-Solar and Wind-WA,WA,48.1348,6431,Solar,16/09/2024,Unsuspended,0,,"Tropicana-Solar and Wind-WA, WA, 6431, Australia",-29.5392065,125.5657862,OK,"Western Australia 6431, Australia"
SRPVSAW8,Woodcroft Town Centre - Solar w SGU - SA,SA,0.5625,5162,Solar,16/09/2024,Unsuspended,0,,"Woodcroft Town Centre - Solar w SGU - SA, SA, 5162, Australia",-35.1036707,138.5546926,OK,"Woodcroft SA 5162, Australia"
SRPXQLD6,Kilcoy Cuisine - Solar - QLD,QLD,1.1554,4551,Solar,13/09/2024,Unsuspended,0,,"Kilcoy Cuisine - Solar - QLD, QLD, 4551, Australia",-26.7914773,153.0633242,OK,"6/14 Fred Chaplin Cct, Corbould Park QLD 4551, Australia"
SRPXQLD7,Mackay South Water Recycling Facility - Solar - QLD,QLD,0.1993,4740,Solar,13/09/2024,Unsuspended,0,,"Mackay South Water Recycling Facility - Solar - QLD, QLD, 4740, Australia",-21.1572567,149.1841875,OK,"South Mackay QLD 4740, Australia"
SRPXVCO1,DHL Mt Atkinson WHB - Solar w SGU -VIC,VIC,0.2001,3029,Solar,13/09/2024,Unsuspended,0,,"DHL Mt Atkinson WHB - Solar w SGU -VIC, VIC, 3029, Australia",-37.7504491,144.7042216,OK,"Mount Atkinson, Truganina VIC 3029, Australia"
