Code,Label,Year,Number of non-employing businesses,Number of employing businesses: 1-4 employees,Number of employing businesses: 5-19 employees,Number of employing businesses: 20 or more employees,Total number of businesses,Number of non-employing business entries,Number of employing business entries: 1-4 employees,Number of employing business entries: 5-19 employees,Number of employing business entries: 20 or more employees,Total number of business entries,Number of non-employing business exits,Number of employing business exits: 1-4 employees,Number of employing business exits: 5-19 employees,Number of employing business exits: 20 or more employees,Total number of business exits,"Agriculture, forestry and fishing (no.)",Mining (no.),Manufacturing (no.),"Electricity, gas, water and waste services (no.)",Construction (no.),Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),Other services (no.),Currently unknown (no.),Number of businesses with turnover of zero to less than $50k,Number of businesses with turnover of $50k to less than $200k,Number of businesses with turnover of $200k to less than $2m,Number of businesses with turnover of $2m to less than $5m,Number of businesses with turnover of $5m to less than $10m,Number of businesses with turnover of $10m or more,Number of business entries with turnover of zero to less than $50k,Number of business entries with turnover of $50k to less than $200k,Number of business entries with turnover of $200k to less than $2m,Number of business entries with turnover of $2m to less than $5m,Number of business entries with turnover of $5m to less than $10m,Number of business entries with turnover of $10m or more,Number of business exits with turnover of zero to less than $50k,Number of business exits with turnover of $50k to less than $200k,Number of business exits with turnover of $200k to less than $2m,Number of business exits with turnover of $2m to less than $5m,Number of business exits with turnover of $5m to less than $10m,Number of business exits with turnover of $10m or more,Private sector houses (no.),Private sector dwellings excluding houses (no.),Total private sector dwelling units (no.),Total dwelling units (no.),Value of private sector houses ($m),Value of private sector dwellings excluding houses ($m),Total value of private sector dwelling units ($m),Value of residential building ($m),Value of non-residential building ($m),Value of total building ($m),Number of established house transfers (no.),Median price of established house transfers ($),Number of attached dwelling transfers (no.),Median price of attached dwelling transfers ($),Debtors entering business related personal insolvencies (no.),Debtors entering non-business related personal insolvencies (no.),Total debtors entering personal insolvencies (no.),Managers (no.),Professionals (no.),Technicians and trades workers (no.),Community and personal service workers (no.),Clerical and administrative workers (no.),Sales workers (no.),Machinery operators and drivers (no.),Labourers (no.),Debtors with other or unknown occupations (no.),Area of holding - total area (ha),Dairy cattle - total (no.),Meat cattle - total (no.),Sheep and lambs - total (no.),Pigs - total (no.),Meat chickens - total (no.),Broadacre crops - total area (ha),Vegetables - total area (ha),Orchard fruit trees and nut trees (produce intended for sale) - total area - (ha),Agricultural production - total gross value ($m),Crops - total gross value ($m),Livestock slaughtered and other disposals - total gross value ($m),"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing (%),"Electricity, gas, water and waste services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, postal and warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, hiring and real estate services (%)","Professional, scientific and technical services (%)",Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Industry of employment inadequately described or not stated (%),Total persons employed aged 15 years and over (no.),Houses - additions (no.),Houses - removals (no.),Houses - total (no.),Townhouses - additions (no.),Townhouses - removals (no.),Townhouses - total (no.),Apartments - additions (no.),Apartments - removals (no.),Apartments - total (no.),Total dwelling additions (no.),Total dwelling removals (no.),Total dwellings (no.)
1,New South Wales,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53566048,317523,4665136,25394950,480371,28499153,-,-,-,-,-,-,2.2,1,8.4,1.1,7.3,4.4,10.3,6.7,4.9,2.3,5,1.6,7.9,3.3,6.1,7.9,11.6,1.5,3.7,2.5,3138332,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2092,6761,8855,847,769,1295,1049,1086,761,913,1160,976,53438094,323148,4674553,25968194,488252,30107903,5870061,-,-,13085.8,6897.2,4390.7,2.1,0.9,5.8,0.9,8.4,3.1,9.7,7.1,4.7,2.2,4.9,1.8,8.1,3.5,6,8.4,12.5,1.5,3.7,4.7,3380336,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1843,6773,8619,819,703,1241,1096,1089,766,933,1090,879,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27974,4539,2060977,7667,48,366004,27802,100,676273,63466,4687,3112186
1,New South Wales,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94859,675000,52755,675000,1915,7325,9233,885,895,1235,1252,1125,765,1030,1205,830,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27405,5830,2082552,7927,238,373693,29914,65,706122,65269,6133,3171322
1,New South Wales,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28141,29505,57646,57982,11928,9548,21477,22005,16865,38871,80138,650000,39253,651000,1815,6115,7926,823,785,1097,953,941,681,893,1125,626,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32929,6010,2109471,9564,101,383156,32120,122,738120,74725,6233,3239814
1,New South Wales,2020.0,470966,225070,70491,19719,786246,-,-,-,-,-,-,-,-,-,-,52088,1567,26642,2466,131301,28533,46258,34008,66666,9225,40954,89262,109755,35051,2657,12950,50690,11282,33987,904,203999,257665,265416,32547,11980,14639,-,-,-,-,-,-,-,-,-,-,-,-,24546,23608,48154,48748,10714,7623,18337,18954,17540,36494,88709,680000,47559,670000,1498,4602,6104,646,582,860,764,741,471,661,784,590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25924,8005,2127390,7109,263,390002,26948,272,764796,59986,8540,3291260
1,New South Wales,2021.0,457432,267680,72797,19694,817603,85411,39860,2598,382,128251,77065,16135,2659,585,96444,52802,1569,27530,2606,138030,29366,49149,36151,63707,9585,43088,92266,114979,36921,2650,13774,54267,11869,36495,799,230912,259905,267900,32686,11868,14332,51726,50021,24917,989,293,305,47967,29956,16220,1190,413,506,30426,29193,59619,60213,13897,10277,24174,24976,19995,44971,126192,750000,66910,695000,829,2449,3279,350,322,398,362,330,212,352,413,552,53822773.8,282659.1,4147594.8,24711533.7,543335.5,39149834.9,7680246.8,14142.5,56258.1,18009.5,11063.3,5044.7,2,1,5.5,1,8.6,2.8,9,6.2,4.6,1.8,5.3,1.7,8.9,3.2,6.1,8.7,14.4,1.4,3.4,4.6,3684158,23993,6678,2144705,8233,79,398156,20325,300,784821,52559,7057,3336762
1,New South Wales,2022.0,486578,272838,74786,20525,854727,100853,39288,2885,439,143465,77096,24480,3405,655,105636,53928,1564,28451,2739,146571,29668,51369,37308,63265,9954,45905,97001,120198,38998,2740,14582,58264,12563,38991,668,226742,276036,286672,36333,13228,15716,52319,60666,28305,1300,444,431,48170,30028,16270,1189,418,501,29299,25664,54963,55574,15376,9483,24859,25615,16778,42393,113915,929000,63331,747000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26310,8845,2162170,7135,65,405226,12680,168,797333,46201,9078,3373885
1,New South Wales,2023.0,509549,264129,75435,21838,870951,97443,37466,2753,432,138094,94407,29529,4201,648,128785,53816,1618,28529,2787,149387,29551,51087,37125,66624,9991,47270,98186,122210,40252,2763,14839,61415,13035,39721,745,210293,283688,304654,39717,15030,17569,44671,62187,29250,1187,453,346,58885,42432,24575,1690,466,502,24844,27005,51849,52313,14888,11521,26409,27291,20464,47755,86359,950000,51287,730000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2024.0,537650,259979,75508,23423,896560,107583,38157,3016,470,149226,91717,26292,4116,653,122778,53235,1641,28776,2835,153172,29613,51192,37508,71450,10078,49854,101312,125848,41309,2835,15212,65958,13317,40826,589,212331,289666,317150,42610,15979,18725,48741,66503,31827,1378,432,369,53579,42343,24061,1724,476,526,22579,19290,41869,42530,14487,9760,24247,25297,19196,44493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11490619,1569337,2049542,14497623,495737,16625799,-,-,-,-,-,-,2.3,0.4,10.7,1.1,8.3,4.5,10.8,6.1,4.7,2,4.1,1.4,7.8,3.3,5.3,8,11.6,1.7,3.6,2.4,2530628,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1648,4265,5915,635,516,869,666,758,544,588,703,635,10676372,1664933,1819057,13064743,562120,22683096,3012041,-,-,13080,4836.3,4642.5,2.2,0.3,7.8,1.1,8.3,3.2,10.2,6.6,4.8,1.9,3.9,1.6,7.9,3.4,5.3,8.6,12.5,1.9,3.6,4.7,2736127,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1527,4365,5891,617,541,877,691,757,513,567,727,605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33179,6589,1883067,10651,26,344043,21266,43,326098,65127,6658,2557877
2,Victoria,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84584,605000,51395,556000,1473,4327,5803,635,574,877,657,744,514,599,733,462,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36673,7720,1912020,11562,63,355542,17944,71,343971,66194,7854,2616217
2,Victoria,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36698,23267,59965,60332,15231,8117,23348,23907,13667,37574,70625,600000,39685,535000,1255,3467,4719,575,490,685,520,589,427,477,617,337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39624,7092,1944552,12136,60,367618,12726,168,356529,64489,7320,2673386
2,Victoria,2020.0,404541,156224,54277,15950,630992,-,-,-,-,-,-,-,-,-,-,38505,834,21722,2129,108931,22466,40361,29271,61367,6507,30037,69115,82000,28349,1918,9602,39311,9571,28250,746,173206,205878,206061,25676,9362,10809,-,-,-,-,-,-,-,-,-,-,-,-,36077,23998,60075,60502,14948,8873,23821,24390,16267,40658,72601,620000,42773,570000,1079,2686,3771,423,397,569,419,429,289,421,459,369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37576,6765,1975363,11113,87,378644,15759,447,371841,64489,7299,2730576
2,Victoria,2021.0,395038,188122,56386,15961,655507,73246,26298,1871,272,101687,64070,10070,1910,432,76482,38560,845,22450,2234,114177,23071,43795,30752,59806,6795,31357,71321,85373,29918,1886,10020,42070,10000,30409,668,198990,208585,203349,24776,9203,10604,43751,39349,17541,605,190,251,40137,23090,11719,928,292,314,46194,21223,67417,68718,18794,7676,26470,27457,15195,42651,88058,665000,54858,615000,524,1282,1804,186,152,242,204,203,123,193,214,283,11391332.5,1446834.3,2129819.3,15360673.2,496916,19387004.6,3735576,31740.3,58992.9,17542.3,8163.4,5577.5,2.1,0.3,7,1.1,9.4,2.8,9.4,6.2,4.7,1.6,4.1,1.5,8.4,3.1,5.6,8.8,14.1,1.7,3.5,4.6,3162893,37321,6947,2005737,11248,158,389734,17559,589,388811,66137,7694,2789019
2,Victoria,2022.0,447783,191649,57394,16385,713211,111588,27631,2292,509,142020,63554,16405,2815,514,83288,38747,911,23166,2320,121927,23174,49259,32719,72532,7080,33211,75525,88912,36323,2219,11725,46658,11254,34981,568,212001,228608,222461,27894,10333,11914,63316,55901,21197,938,295,373,40110,23079,11710,923,288,312,39562,24686,64248,66177,18807,9930,28736,30164,17658,47822,88853,780000,55112,629925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38797,8656,2035878,9066,134,398666,11295,104,400002,59204,8894,2839329
2,Victoria,2023.0,461440,181121,58635,18171,719367,87669,24459,2116,345,114589,97729,19568,3142,492,120931,38655,915,23601,2426,123873,23633,47125,31906,72918,7062,34273,76957,90909,35170,2118,11395,49972,11221,34594,644,190794,238246,235113,30533,11470,13211,38817,53617,20818,833,256,248,58909,38299,21085,1408,436,399,34144,20514,54658,55388,18655,9289,27944,29052,19999,49051,69460,750000,44824,595000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2024.0,483514,176808,58542,19051,737915,97510,24345,2322,411,124588,84794,17016,3226,576,105612,38024,933,23381,2489,125033,23029,48208,32372,79105,6980,35763,79477,92404,36018,2162,11879,53942,11425,34803,488,191049,244569,243891,32545,12025,13798,43670,57021,22364,925,303,256,49863,35360,18297,1329,409,388,33237,18313,51550,51816,19488,8767,28254,29090,18186,47275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,134215307,157977,11771898,3530501,630873,15499253,-,-,-,-,-,-,2.7,2.6,8.4,1.2,9,3.6,10.7,7,5.3,1.2,2.7,1.8,6.5,3.2,6.7,7.9,11.9,1.4,3.9,2.4,2039276,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2606,6486,9090,876,770,1356,996,1101,826,1076,1206,880,127550908,154843,10390122,1814782,559018,18431345,2104273,-,-,13216.9,5829,6878.8,2.8,2.3,6,1.1,9,2.6,9.9,7.3,5.1,1.2,2.5,2,6.3,3.5,6.6,9,13,1.6,3.9,4.3,2136450,-,-,-,-,-,-,-,-,-,-,-,-
